date,temperature,humidity,wind_speed,pressure,rain
2025-02-06,19.5,85.2,22.54,1011.82,0.0
2025-02-07,24.058333333333334,68.79166666666667,36.31666666666667,1013.4291666666667,0.0
2025-02-08,23.599999999999998,68.91666666666667,44.56666666666666,1014.6541666666667,0.0
2025-02-09,23.008333333333336,69.5,44.30833333333334,1014.4708333333333,0.0
2025-02-10,23.683333333333334,67.91666666666667,33.612500000000004,1013.5749999999999,1.8
2025-02-11,24.683333333333334,73.54166666666667,29.941666666666666,1012.3125,0.0
2025-02-12,25.566666666666666,78.83333333333333,25.400000000000002,1011.8291666666668,0.9
2025-02-13,25.258333333333336,78.79166666666667,24.59166666666667,1012.0583333333334,0.0
2025-02-14,26.125,75.875,27.2375,1011.3208333333333,7.4
2025-02-15,25.162499999999998,83.83333333333333,23.825,1011.7166666666667,2.9
2025-02-16,25.004166666666666,80.16666666666667,27.529166666666665,1013.8833333333333,0.7000000000000001
2025-02-17,24.833333333333332,75.375,32.891666666666666,1014.9,0.1
2025-02-18,25.337500000000002,74.625,33.2875,1014.5166666666668,0.0
2025-02-19,24.454166666666666,81.625,32.02916666666666,1014.4041666666667,3.0
2025-02-20,25.2,77.58333333333333,33.6625,1014.3708333333334,1.2
2025-02-21,25.7,77.05263157894737,34.794736842105266,1014.8157894736842,0.30000000000000004
